"Number","Difficulty","Question","Question Data"
"1","Easy","Find all even numbers from a List<Integer> using Java Streams.","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
"2","Easy","Find all odd numbers from a List<Integer> using Java Streams.","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
"3","Easy","Find the sum of all numbers in a list using Streams.","[10, 20, 30, 40, 50]"
"4","Easy","Find the maximum number in a list using Streams.","[15, 42, 7, 89, 23, 56]"
"5","Easy","Find the minimum number in a list using Streams.","[15, 42, 7, 89, 23, 56]"
"6","Easy","Count the number of elements in a list using Streams.","[10, 20, 30, 40, 50, 60, 70]"
"7","Easy","Remove duplicate elements from a list using distinct().","[1, 2, 2, 3, 4, 4, 5, 5, 5, 6]"
"8","Easy","Sort a list of integers in ascending order using Streams.","[45, 12, 78, 3, 56, 23, 9]"
"9","Easy","Sort a list of integers in descending order using Streams.","[45, 12, 78, 3, 56, 23, 9]"
"10","Easy","Convert a List<String> to uppercase using Streams.","[\"java\", \"spring\", \"hibernate\", \"docker\"]"
"11","Easy","Find all strings that start with the letter A.","[\"Apple\", \"Banana\", \"Amazon\", \"Orange\", \"Avocado\", \"Mango\"]"
"12","Easy","Find all strings whose length is greater than 5.","[\"Java\", \"Spring\", \"Hibernate\", \"API\", \"Docker\", \"Microservices\"]"
"13","Easy","Convert a list of strings into a comma-separated string.","[\"Java\", \"Spring\", \"AWS\", \"Docker\"]"
"14","Easy","Check whether any number in a list is greater than 100.","[10, 25, 45, 78, 120, 56]"
"15","Easy","Check whether all numbers in a list are positive.","[10, 25, 45, 78, 120, 56]"
"16","Medium","Find the first element in a list using Streams.","[45, 12, 78, 3, 56, 23]"
"17","Medium","Find the first non-repeated character in a string using Streams.","\"swiss\""
"18","Medium","Find all duplicate elements in a list using Streams.","[1, 2, 3, 2, 4, 5, 3, 6, 2, 7]"
"19","Medium","Find the second-highest number in a list using Streams.","[10, 25, 45, 78, 120, 56, 78]"
"20","Medium","Find the second-lowest number in a list using Streams.","[10, 25, 45, 78, 120, 56, 10]"
"21","Medium","Find the top 3 highest numbers from a list.","[10, 85, 32, 67, 95, 45, 78, 100, 23]"
"22","Medium","Find the top 3 lowest numbers from a list.","[10, 85, 32, 67, 95, 45, 78, 100, 23]"
"23","Medium","Find the average of all numbers in a list.","[10, 20, 30, 40, 50]"
"24","Medium","Partition a list of integers into even and odd numbers using partitioningBy().","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
"25","Medium","Group a list of strings by their length using groupingBy().","[\"Java\", \"SQL\", \"Spring\", \"AWS\", \"Docker\", \"API\", \"Python\"]"
"26","Medium","Count the frequency of each element in a list using groupingBy().","[\"Java\", \"Spring\", \"Java\", \"Docker\", \"Spring\", \"Java\", \"AWS\", \"Docker\"]"
"27","Medium","Count the frequency of each character in a String using Streams.","\"programming\""
"28","Medium","Find the most frequently occurring element in a list.","[\"Java\", \"Spring\", \"Java\", \"Docker\", \"Spring\", \"Java\", \"AWS\", \"Docker\", \"Java\"]"
"29","Medium","Find the longest string in a list using Streams.","[\"Java\", \"Spring\", \"Hibernate\", \"AWS\", \"Microservices\"]"
"30","Medium","Find the shortest string in a list using Streams.","[\"Java\", \"Spring\", \"Hibernate\", \"AWS\", \"API\"]"
"31","Medium","Convert List<String> into Map<String,Integer> where the value is the string length.","[\"Java\", \"Spring\", \"Docker\", \"AWS\", \"Hibernate\"]"
"32","Medium","Find common elements between two lists using Streams.","List1=[1,2,3,4,5,6]; List2=[4,5,6,7,8,9]"
"33","Medium","Find elements present in the first list but not in the second list.","List1=[1,2,3,4,5,6]; List2=[4,5,6,7,8,9]"
"34","Medium","Flatten a List<List<Integer>> into a List<Integer> using flatMap().","[[1,2,3],[4,5],[6,7,8,9]]"
"35","Medium","Find the sum of all numbers in a nested List<List<Integer>>.","[[10,20],[30,40],[50,60]]"
"36","Hard","Given an Employee list, find the highest-paid employee.","[101,John,IT,90000,30]; [102,Alice,HR,75000,28]; [103,Bob,IT,120000,35]; [104,David,Finance,110000,40]; [105,Emma,HR,95000,32]; [106,Michael,Finance,130000,38]"
"37","Hard","Given an Employee list, find the second-highest-paid employee.","[101,John,IT,90000,30]; [102,Alice,HR,75000,28]; [103,Bob,IT,120000,35]; [104,David,Finance,110000,40]; [105,Emma,HR,95000,32]; [106,Michael,Finance,130000,38]"
"38","Hard","Find the highest-paid employee in each department.","[101,John,IT,90000,30]; [102,Alice,HR,75000,28]; [103,Bob,IT,120000,35]; [104,David,Finance,110000,40]; [105,Emma,HR,95000,32]; [106,Michael,Finance,130000,38]"
"39","Hard","Find the average salary of employees in each department.","[101,John,IT,90000,30]; [102,Alice,HR,75000,28]; [103,Bob,IT,120000,35]; [104,David,Finance,110000,40]; [105,Emma,HR,95000,32]; [106,Michael,Finance,130000,38]"
"40","Hard","Find the number of employees in each department.","[101,John,IT,90000,30]; [102,Alice,HR,75000,28]; [103,Bob,IT,120000,35]; [104,David,Finance,110000,40]; [105,Emma,HR,95000,32]; [106,Michael,Finance,130000,38]"
"41","Hard","Group employees by department and sort employees within each department by salary.","[101,John,IT,90000,30]; [102,Alice,HR,75000,28]; [103,Bob,IT,120000,35]; [104,David,Finance,110000,40]; [105,Emma,HR,95000,32]; [106,Michael,Finance,130000,38]"
"42","Hard","Find the second-highest salary in each department.","[101,John,IT,90000,30]; [102,Alice,HR,75000,28]; [103,Bob,IT,120000,35]; [104,David,Finance,110000,40]; [105,Emma,HR,95000,32]; [106,Michael,Finance,130000,38]"
"43","Hard","Find the employee with the highest salary in each department.","[101,John,IT,90000,30]; [102,Alice,HR,75000,28]; [103,Bob,IT,120000,35]; [104,David,Finance,110000,40]; [105,Emma,HR,95000,32]; [106,Michael,Finance,130000,38]"
"44","Hard","Find the youngest employee in each department.","[101,John,IT,90000,30]; [102,Alice,HR,75000,28]; [103,Bob,IT,120000,35]; [104,David,Finance,110000,40]; [105,Emma,HR,95000,32]; [106,Michael,Finance,130000,38]"
"45","Hard","Find the department having the highest average salary.","[101,John,IT,90000,30]; [102,Alice,HR,75000,28]; [103,Bob,IT,120000,35]; [104,David,Finance,110000,40]; [105,Emma,HR,95000,32]; [106,Michael,Finance,130000,38]"
"46","Very Hard","Find the nth-highest salary from an employee list using Streams. Find the 3rd-highest salary.","[90000,75000,120000,110000,95000,130000,120000,85000]"
"47","Very Hard","Find duplicate employees based on employee name using Streams.","[101,John,IT,90000,30]; [102,Alice,HR,75000,28]; [103,John,Finance,110000,35]; [104,Bob,IT,120000,40]; [105,Alice,HR,95000,32]"
